
File                                                      PureLOC
----                                                      -------
crates/shell-platform-windows/src/win32_owner.rs              248
crates/shell-platform-windows/src/win32_windowing.rs          241
crates/shell-renderer/src/dock_scene.rs                       221
crates/shell-platform-windows/src/dock_placement.rs           212
crates/shell-platform-windows/src/win32.rs                    194
crates/shell-platform-windows/src/win32_window.rs             185
crates/shell-platform-windows/src/dock_types.rs               170
crates/shell-platform-windows/src/dock_controller.rs          144
crates/shell-platform-windows/src/lib.rs                      140
crates/shell-platform-windows/src/win32_discovery.rs          139
crates/shell-platform-windows/src/win32_actions.rs            133
crates/shell-platform-windows/src/dock_controller_sync.rs     124
crates/shell-platform-windows/src/win32_dock_render.rs         91
crates/shell-platform-windows/src/win32_work_area.rs           82
crates/shell-platform-windows/src/dock_window_sync.rs          67
crates/shell-renderer/src/lib.rs                               46



